zeile,label,total_netto_ag,row_count
49,"49 - Aufwendungen für Telekommunikation (z. B. Telefon, Internet)",512.76,12
55,"55 - Beiträge, Gebühren, Abgaben und Versicherungen (ohne solche für Gebäude und Kraftfahrzeuge)",388.46,19
56,"56 - Laufende EDV-Kosten (z. B. Beratung, Wartung, Reparatur)",172.07,14
62,62 - Übrige Schuldzinsen,1391.13,20
66,66 - Übrige unbeschränkt abziehbare Betriebsausgaben,16538.13,94
83,"83 - Sonstige tatsächliche Fahrtkosten ohne AfA und Zinsen (z. B. Reparaturen, Wartungen, Treibstoff, Kosten für Flugstrecken, Kosten für öffentliche Verkehrsmittel)",6519.42,39
