zeile,label,total_netto_ag,row_count
49,"49 - Aufwendungen für Telekommunikation (z. B. Telefon, Internet)",764.33,30
52,"52 - Kosten für Rechts- und Steuerberatung, Buchführung,",420.00,6
55,"55 - Beiträge, Gebühren, Abgaben und Versicherungen (ohne solche für Gebäude und Kraftfahrzeuge)",183.20,8
56,"56 - Laufende EDV-Kosten (z. B. Beratung, Wartung, Reparatur)",859.50,52
62,62 - Übrige Schuldzinsen,221.72,10
68,68 - Bewirtungsaufwendungen,29.85,3
81,81 - Leasingkosten ,1293.16,4
83,"83 - Sonstige tatsächliche Fahrtkosten ohne AfA und Zinsen (z. B. Reparaturen, Wartungen, Treibstoff, Kosten für Flugstrecken, Kosten für öffentliche Verkehrsmittel)",844.75,26
87,87 - Nicht abziehbare Beträge (Beispiele siehe Anleitung),407.20,2
