zeile,label,total_netto_ag,row_count
49,"49 - Aufwendungen für Telekommunikation (z. B. Telefon, Internet)",512.76,12
55,"55 - Beiträge, Gebühren, Abgaben und Versicherungen (ohne solche für Gebäude und Kraftfahrzeuge)",177.16,15
56,"56 - Laufende EDV-Kosten (z. B. Beratung, Wartung, Reparatur)",1116.50,37
62,62 - Übrige Schuldzinsen,459.36,21
66,66 - Übrige unbeschränkt abziehbare Betriebsausgaben,2581.98,29
83,"83 - Sonstige tatsächliche Fahrtkosten ohne AfA und Zinsen (z. B. Reparaturen, Wartungen, Treibstoff, Kosten für Flugstrecken, Kosten für öffentliche Verkehrsmittel)",6994.36,57
