zeile,label,total_netto_ag,row_count
49,"49 - Aufwendungen für Telekommunikation (z. B. Telefon, Internet)",1552.76,20
55,"55 - Beiträge, Gebühren, Abgaben und Versicherungen (ohne solche für Gebäude und Kraftfahrzeuge)",336.72,12
56,"56 - Laufende EDV-Kosten (z. B. Beratung, Wartung, Reparatur)",1348.53,87
62,62 - Übrige Schuldzinsen,2579.35,26
66,66 - Übrige unbeschränkt abziehbare Betriebsausgaben,16584.10,213
83,"83 - Sonstige tatsächliche Fahrtkosten ohne AfA und Zinsen (z. B. Reparaturen, Wartungen, Treibstoff, Kosten für Flugstrecken, Kosten für öffentliche Verkehrsmittel)",7791.60,69
